title,description,category,datatype,text
Kichka_Bodurova,Bulgarian pop-folk musician,singer,A,"Big Brother: All-Stars, also known as Big Brother 22  or BB22, is the twenty-second season of the television reality program Big Brother. The season premiered on August 5, 2020 and is broadcast on CBS in the United States and simulcast on Global in Canada. The show chronicles a group of former contestants, known as HouseGuests, as they compete to be the last competitor remaining to win a grand prize of $500,000. Julie Chen Moonves is hosting the season. For the first time since Big Brother: Over the Top, the program featured a live premiere. CBS renewed Big Brother for an additional season on September 5, 2019 before the twenty-first season concluded and confirmed Chen Moonves would be returning as host. The start of the season was delayed approximately six weeks due to the impacts of COVID-19. Hours before the season finale, Julie Chen Moonves made an official announcement for the show's renewal for a 23rd season in 2021.The season finale was broadcast on October 28, 2020 after 85 days of competition, where season 16 runner-up Cody Calafiore was named the winner and defeating season 12 HouseGuest Enzo Palumbo in the third unanimous final jury vote in Big Brother US history (following Dan Gheesling of Big Brother 10 and Tamar Braxton of Celebrity Big Brother 2). Da'Vonne Rogers was named the season's America's Favorite HouseGuest. == Format ==

Big Brother depicts a group of contestants, known as HouseGuests, that live inside a custom-built house outfitted with cameras and microphones recording their every move 24 hours a day."
Taras_Topolya,Ukrainian singer,singer,A,"EdCamp Ukraine (Ukrainian: ЕдКемп Україна) is a movement of educators in Ukraine. It is based on the principles of the worldwide EdCamp movement, which originated in the United States. Ukraine was the third country in Europe and the ninth in the world to join the original movement in 2014. As of 2020, EdCamp Ukraine is the second biggest EdCamp community in the world, and the biggest community of educators in Ukraine. The EdCamp Ukraine movement is supported by a non-governmental, non-profit public organization of the same name, which focuses on improving the Ukrainian education system. EdCamp Ukraine organizes career-enhancement training for teachers, lobbies the Ukrainian Ministry of Education and Science for educational reforms, and organizes various projects for educators and students. EdCamp Ukraine's 2018 initiative concerning the development of professional education succeeded in reforming the career-enhancement training process, in particular by de-monopolizing the government-sponsored professional education enterprises. As the initiative's result, in 2019 the new regulations of the Ministry allowed educators to develop their professional skills through a wider range of educational and scientific institutions, as well as through private and legal business ventures. Their education is funded by government or local budgets according to the ""money follows the teacher"" principle. The anti-discrimination expertise of EdCamp Ukraine became a part of the Ministry's textbook-approval procedure."
Louis_Graveure,"English actor and baritone singer known as ""The Mystery Man""",singer,A,"The Accusing Song (German: Ein Lied klagt an) is a 1936 German musical drama film directed by Georg Zoch and starring Louis Graveure, Gina Falckenberg and Walter Rilla. == Cast ==
Louis Graveure as Kammersänger Harden
Gina Falckenberg as Vera, seine Frau
Walter Rilla as Detlef Ollmer - Bildhauer
Walter Janssen as Justus Kramer
Hanna Waag as Maria, seine Tochter
Fritz Odemar as Baron Brix
Margarete Lanner as Baronin Brix
Erwin Biegel as Josef - Hardens Diener
Johanna Blum as Anni - Frau Hardens Zofe
Carla Rust as Emma - Dienstmädchen bei Ollmer
Herbert Hübner as Kriminalkommissar Collander
Albert Probeck as Kriminalassistent Breuer
Georg A. Profé as Kriminalassistent Rothaus
Gerhard Dammann as Portier Krüger
Eva Tinschmann as Olga, seine Frau
Bruno Tillessen as Danneberg


== References ==


== Bibliography ==
Moeller, Felix; Schlöndorff, Volker (2000). The Film Minister: Goebbels and the Cinema in the Third Reich. Translated by Robinson, Michael. Stuttgart: Axel Menges. ISBN 978-3-932565-10-6. == External links ==
The Accusing Song at IMDb"
Philippe_Robrecht,Belgian guitarist and singer,singer,A,"Jacques Romain Georges Brel (French: [ʒɑk ʁɔmɛ̃ ʒɔʁʒ bʁɛl], listen ; 8 April 1929 – 9 October 1978) was a Belgian singer, songwriter, actor and director who composed and performed literate, thoughtful, and theatrical songs that generated a large, devoted following—initially in Belgium and France, later throughout the world. He is considered a master of the modern chanson. Although he recorded most of his songs in French and occasionally in Dutch, he became an influence on English-speaking songwriters and performers, such as Scott Walker, David Bowie, Alex Harvey, Marc Almond and Rod McKuen. English translations of his songs were recorded by many performers, including: Bowie; Walker, Ray Charles; Judy Collins; John Denver; The Kingston Trio; Nina Simone; Shirley Bassey; Frank Sinatra and Andy Williams.Brel was a successful actor, appearing in 10 films. He directed two films, one of which, Le Far West, was nominated for the Palme d'Or at the Cannes Film Festival in 1973. Having sold over 25 million records worldwide, Brel is the third best-selling Belgian recording artist of all time. Brel married Thérèse ""Miche"" Michielsen in 1950, and the couple had three children. He also had a romantic relationship with actress and dancer Maddly Bamy from 1972 until his death in 1978. == Early life ==
Jacques Romain Georges Brel was born on 8 April 1929 in Schaerbeek, Brussels, to Élisabeth ""Lisette"" (née Lambertine) and Romain Brel. He came from a family of Flemish descent (who had adopted the French language); part of his family originated in Zandvoorde, near Ypres."
Moira_Lambert,British singer,singer,A,"Mary Rose Byrne (born 24 July 1979) is an Australian actress. She made her screen debut in the film Dallas Doll (1994), and continued to act in Australian film and television throughout the 1990s. She obtained her first leading film role in The Goddess of 1967 (2000), which brought her the Volpi Cup for Best Actress, and made the transition to Hollywood in the small role of Dormé in Star Wars: Episode II – Attack of the Clones (2002), followed by larger parts in Troy (2004), 28 Weeks Later (2007), and Knowing (2009). Byrne appeared as Ellen Parsons in all 59 episodes of the legal thriller series Damages (2007–2012), which earned her two Golden Globe Awards nominations and two Primetime Emmy Award nominations. Get Him to the Greek (2010) and Bridesmaids (2011) established her as a comedic actress, in addition to the dramas and thrillers she continues to appear in. == Early life ==
Byrne was born in Balmain, a suburb of Sydney, New South Wales, and is of Irish and Scottish descent. Her parents are Jane, a primary school administrator, and Robin Byrne, a semi-retired statistician and market researcher. She is the youngest of their four children; she has an older brother, George, and two older sisters, Alice and Lucy. In a 2009 interview, Byrne stated that her mother was an atheist, while both she and her father were agnostic. Her family was described by The Telegraph as ""close-knit"", and frequently kept her feet grounded as her career took off."
Gaba_Kulka,Polish singer,singer,A,"Gabriela Konstancja Kulka-Stajewska (known as Gaba Kulka, born 1979 in Warsaw, Poland) is an independent artist, a songwriter, and performer. == Biography ==
Gabriela Kulka was born to a family of musicians, her father, Konstanty Andrzej Kulka, is a well known Polish violinist and a professor at Chopin Music Academy in Warsaw. Following in her father's footsteps, she endured eight years of classical schooling in violin, but still ended up embracing the piano as a weapon of choice in her songwriting and performing activities. She recorded her first full-length album, Between Miss Scylla and a Hard Place, in 2003, available in CD-R format. The year 2006 saw the release of her second LP, Out, a full-colour, professionally pressed affair. Both albums were completely independent releases. Aside from these, Gaba contributed to a (private?) compilation of covers called Songs for Wolf, containing covers of the likes of Björk, Ozzy Osbourne, Neil Diamond, Stevie Nicks and The Church). In 2009 her third album, Hat, Rabbit, was released by major label Mystic Production and therefore Gaba Kulka gained wider popularity. The album went gold in Poland and with her singles ""Niejasności"", ""Kara Niny"" or ""Got a Song"" the singer became successful in more alternative-oriented radio stations."
Sully_Erna,"American singer, musician, and songwriter",singer,A,"Salvatore Paul Erna Jr. (born February 7, 1968) is an American singer, musician and songwriter, best known as the vocalist and rhythm guitarist for rock band Godsmack. He is also a harmonica player, drummer and percussionist, performing these on albums and at live shows. He was ranked 47th in the Top 100 Heavy Metal Vocalists by Hit Parader. == Early life ==
Sully Erna was born in Lawrence, Massachusetts. He began playing drums at the age of three. His father, Salvatore Erna Sr., was a trumpet player from Sicily and would rehearse in the basement where Sully would watch. His great-uncle was a famous composer in Sicily. At the age of 11, Erna discovered that it was easier for him to listen to something and play it than read sheet music. He stopped taking lessons and practiced at home, rehearsing to records by Aerosmith, Led Zeppelin, Motörhead, and Rush. == Musical career ==
At 14, Dave Vose became Erna's new instructor."
Ibrahim_al_Kashif,Sudanese popular singer and composer,singer,A,"Shams ad-Dīn adh-Dhahabī (شمس الدين الذهبي), also known as Shams ad-Dīn Abū ʿAbdillāh Muḥammad ibn Aḥmad ibn ʿUthmān ibn Qāymāẓ ibn ʿAbdillāh at-Turkumānī al-Fāriqī ad-Dimashqī (October 1274 – 3 February 1348) was a Syrian Islamic historian and Hadith expert. == Life ==
Adh-Dhahabi was born in Damascus on 5 October 1274. He was of Turkmen ancestry from Mayyafariqin, northeast of Diyar Bakr. At some point, they moved to Damascus. His name, ibn adh-Dhahabi (son of the goldsmith), reveals his father's profession. He began his study of hadith at age eighteen, travelling from Damascus to Baalbek, Homs, Hama, Aleppo, Nabulus, Cairo, Alexandria, Jerusalem, Hijaz, and elsewhere, before returning to Damascus to teach and write. He authored many works and was widely renown as a perspicuous critic and expert examiner of the hadith. He wrote an encyclopedic biographical history and was the foremost authority on the canonical readings of the Qur'an. Some of his teachers were women. At Baalbek, Zaynab bint ʿUmar b. al-Kindī was among his most influential teachers.Adh-Dhahabi lost his sight two years before he died, leaving three children: the eldest, his daughter, Amat al-`Aziz, and his two sons, `Abd Allah and Abu Hurayra `Abd al-Rahman."
Art_Jarrett,American singer (1907-1987),singer,A,"Arthur L. Jarrett Jr. (July 20, 1907 – July 23, 1987) born to stage actor and playwright Arthur L. Jarrett Sr. (1884–1960). Art Jr. was an American singer, actor, and bandleader in the 1930s and 1940s. == Early career ==
Near the end of the 1920s into the 1930s, Jarrett was a member of the dance orchestras of Earl Burtnett, Ted Weems, Jimmie Noone, and Red Nichols, playing banjo, guitar, and trombone as well as singing. He recorded for Victor and Brunswick. He also recorded a handful of vocals for Isham Jones in 1931. His high tenor voice made him popular in feature films and shorts. He had a record year in 1933, introducing such songs as ""Everything I Have is Yours"" from Dancing Lady, ""Did You Ever See a Dream Walking?"" from Sitting Pretty, and ""Let's Fall in Love"" from the movie of the same name. Jarrett also performed in vaudeville. == Bandleader ==
In 1936, he left Ted Weems to lead his own orchestra."
Melodie_Crittenden,American musician,singer,A,"Melodie Crittenden (born 1968 in Shawnee, Oklahoma) is an American country and Christian music artist. Her first album was recorded at the age of nine in Norman, Oklahoma, and was titled Melodie Sings. She traveled around Oklahoma with her family band ""The Crittendens"", performing at crusade events with evangelist Larry Jones (founder of the ""Feed The Children"" charity). Later in life, she recorded a self-titled debut album for Asylum/Elektra Records in 1998, the same year that she charted with her rendition of ""Bless the Broken Road"" (her version was titled simply ""Broken Road""); she would later record the song a second time as a member of the gospel group Selah. Crittenden has released two studio albums, starting with her self-titled debut in 1998. A third album, entitled The Woman I Am, was slated for release around 2004 but was never released. Since moving to Nashville, Melodie has worked as a touring background vocalist for Kathy Mattea, Amy Grant, Billy Joel, Jewel, and Alan Jackson. She has also appeared as a background vocalist on records for artists such as Blake Shelton, Billy Joel, Alan Jackson, Josh Turner, Travis Tritt, Neil Diamond, Kristin Chenoweth, Ronnie Dunn, and Aaron Tippin. As of 2016, Crittenden is a member of the Eagles tribute band Eaglemaniacs, which also includes Ron Hemby, formerly of The Buffalo Club. == Discography ==


=== Albums ===


=== Singles ===


=== Guest singles ===


=== Music videos ===


== References ==


== External links ==
Melodie Crittenden on Myspace"
