title,description,category,datatype,text
Gabriel_Ruprich-Robert,French architect and art historian,architect,Z,"The Institut Catholique de Paris (ICP), known in English as the Catholic University of Paris (and in Latin as Universitas catholica Parisiensis), is a private university located in Paris, France. == History: 1875–present ==
The Institut Catholique de Paris was founded in 1875, under the name of the Université Catholique de Paris by Maurice Le Sage d'Hauteroche d'Hulst. The school settled on the site of the former convent of the Carmelites, however the premises were not well adapted. Gabriel Ruprich-Robert developed a new project for the site; however, due to a lack of sufficient funds, he decided to renovate some of the old buildings instead of destroying them. The first phase of the renovation took place between 1894 and 1897. Following the French law establishing the separation of the church and state, ownership of the premises was given to the state. In 1927, the premises were repurchased by the institute, allowing the second phase of the renovation to take place between 1929 and 1930, followed by a third phase between 1932 and 1933.The Neogothlic architectural style is prevalent on the campus. ICP is a non-for-profit association pursuant to the French Law of 1901, recognized as promoting public interest, in 1941.The current rector is Bishop Philippe Bordeyne, who has been the rector of ICP since 2011.In 2017, there were 10,000 students attending ICP. This was also the year that ICP inaugurated its renovated campus. == Overview ==
The university is known for its liberal theology and offers bachelor, master and doctoral degrees in various faculties."
Karel_Gessler,Belgian architect,architect,Z,"Apocalyptic fiction is a subgenre of science fiction that is concerned with the end of civilization due to a potentially existential catastrophe such as nuclear warfare, pandemic, extraterrestrial attack, impact event, cybernetic revolt, technological singularity, dysgenics, supernatural phenomena, divine judgment, climate change, resource depletion or some other general disaster. Post-apocalyptic fiction is set in a world or civilization after such a disaster. The time frame may be immediately after the catastrophe, focusing on the travails or psychology of survivors, or considerably later, often including the theme that the existence of pre-catastrophe civilization has been forgotten (or mythologized). Apocalypse is a Greek word referring to the end of the world. Apocalypticism is the religious belief that there will be an apocalypse, a term which originally referred to a revelation of God's will, but now usually refers to belief that the world will come to an end very soon, even within one's own lifetime.Apocalyptic fiction does not portray catastrophes, or disasters, or near-disasters that do not result in apocalypse. A threat of an apocalypse does not make a piece of fiction apocalyptic. For example, Armageddon and Deep Impact are considered disaster films and not apocalyptic fiction because, although Earth or humankind are terribly threatened, in the end they manage to avoid destruction. Apocalyptic fiction is not the same as fiction that provides visions of a dystopian future. George Orwell's Nineteen Eighty-Four, for example, is dystopian fiction, not apocalyptic fiction. == Works of apocalyptic and post-apocalyptic fiction ==


== Categories of Apocalyptic and Post-Apocalyptic Fiction ==


== See also ==
List of apocalyptic films
List of nuclear holocaust fiction
List of time travel science fiction
Nuclear holocaust
Nuclear weapons in popular culture
Survivalism
Survivalism in fiction
World War III
World War III in popular culture
Zombie apocalypse


== References ==


== External links ==
Dodson, Eric (2003)."
Seiji_Suzuki,Japanese architect,architect,Z,"Toshio Suzuki (鈴木 敏夫, Suzuki Toshio, born August 19, 1948) is a film producer of anime and a long-time colleague of Hayao Miyazaki, as well as the former president of Studio Ghibli. Suzuki is renowned as one of Japan's most successful producers after the enormous box office success (in Japan) of many Ghibli films. == Early life ==
Suzuki was born in Nagoya in Aichi Prefecture in 1948. In 1967 he enrolled at Keio University and graduated with a degree in literature in 1972. == Career ==
His professional career started at Tokuma Shoten, joining the company shortly after graduation. He was assigned to the planning department of Asahi Geino, entertainment, magazine, where he was responsible for the manga coverage page. Here he had a long anticipated meeting with cartoonist Shigeru Sugiura. In 1973 he became the editor of the magazine's supplement Comic & Comic (コミック&コミック, komiku & komiku), for which he worked with and befriended film directors, such as Sadao Nakajima, Eiichi Kudo and Teruo Ishii, as well as animators and manga artists, like Osamu Tezuka, George Akiyama, Kazuo Kamimura, Hōsei Hasegawa and Shotaro Ishinomori. During a hiatus of the comic supplement he was reassigned to the performing arts feature section of Asahi Geino, for which he covered such varied topics as Bōsōzoku, Japanese motorcycle gangs, and the bombing of the headquarters of Mitsubishi Heavy Industries by the East Asia Anti-Japan Armed Front. From this period he has mentioned Sayuri Ichijō as a memorable person."
Eugenio_Batista,Cuban architect,architect,Z,"The Havana Plan Piloto was a 1955–1958 urban proposal [6] by Town Planning Associates, which included Paul Lester Wiener, Paul Schulz, the Catalan architect Josep Lluis Sert, and Seely Stevenson of Value & Knecht, Consulting Engineers, seeking to combine ""architecture, planning, and law"", in a project heavily influenced by the politics of Fulgencio Batista which in turn were dictated by his involvement with the American Mafia and their desire to augment United States tourism, and thru his architects and various designers, the modernist principles of the Congrès Internationaux d'Architecture Moderne (CIAM) and the Athens Charter. The Charter got its name from the location of the fourth CIAM conference in 1933, which, due to the deteriorating political situation in Russia, took place on the in SS Patris II bound for Athens from Marseilles. This conference is documented in a film commissioned by Sigfried Giedion and made by his friend László Moholy-Nagy ""Architects' Congress"". [7] The Charter had a significant impact on urban planning after World War II and, thru Josep Lluis Sert and Paul Lester Wiener, on the proposed modernization of Havana and in an effort to erase all vestiges of the 16th-century city. == Background ==

The 20th century began with Cuba under occupation by the United States (1898–1902), and officially ended when Tomás Estrada Palma, first president of Cuba, took office on 20 May 1902. During the Republican Period, from 1902 to 1959, Havana saw a new era of development. Cuba recovered from the devastation of war to become a prosperous country: ""Cuba ranked fifth in the hemisphere in per capita income, third in life expectancy, second in per capita ownership of automobiles and telephones, first in the number of television sets per inhabitant. The literacy rate, 76%, was the fourth-highest in Latin America. Cuba ranked 11th in the world in the number of doctors per capita. Many private clinics and hospitals provided services for the poor."
Friedrich_Fissler,Swiss architect (1875-1964),architect,Z,"Idar-Oberstein (German: [ˌiːdaːɐ̯ˈʔoːbɐˌʃtaɪ̯n] (listen)) is a town in the Birkenfeld district in Rhineland-Palatinate, Germany. As a Große kreisangehörige Stadt (large city belonging to a district), it assumes some of the responsibilities that for smaller municipalities in the district are assumed by the district administration. Today's town of Idar-Oberstein is the product of two rounds of administrative reform, one in 1933 and the other in 1969, which saw many municipalities amalgamated into one. The various Stadtteile have, however, retained their original identities, which, aside from the somewhat more urban character encountered in Idar and Oberstein, tend to hearken back to each centre's history as a rural village. Idar-Oberstein is known as a gemstone town, and also as a garrison town. It is also the largest town in the Hunsrück. == Geography ==


=== Location ===
The town lies on the southern edge of the Hunsrück on both sides of the river Nahe. === Constituent communities ===
The following are the divisions within the town of Idar-Oberstein as at 31 December 2015:


==== Centres merged in 1933 administrative reform ====
Oberstein (7,834 inhabitants)
Idar (7,897 inhabitants)
Tiefenstein (2,489 inhabitants)
Algenrodt (1,846 inhabitants)Total population: 20,066


==== Centres merged in 1969 administrative reform ====
Göttschied (2,928 inhabitants)
Weierbach (2,536 inhabitants; area 751.6 ha)
Nahbollenbach (1,899 inhabitants; area 821.7 ha)
Mittelbollenbach (1,060 inhabitants; area 360.9 ha)
Kirchenbollenbach (787 inhabitants; area 227.5 ha)
Regulshausen (874 inhabitants)
Enzweiler (686 inhabitants)
Georg-Weierbach (661 inhabitants)
Hammerstein (504 inhabitants; area 217.5 ha)Total population: 11,935


=== Climate ===
Yearly precipitation in Idar-Oberstein amounts to 774 mm, falling into the middle third of the precipitation chart for all Germany. At 57% of the German Weather Service's weather stations, lower figures are recorded. The driest month is April."
John_A._Kay,American architect,architect,Z,"John Kay (born Joachim Fritz Krauledat, 12 April 1944) is a German-born Canadian rock singer, songwriter, and guitarist known as the frontman of Steppenwolf. == Early life ==
He was born in Tilsit, East Prussia, Germany (now Sovetsk, Kaliningrad Oblast, Russia). His father Fritz, born 13 June 1913 in Absteinen (Opstainys in Pagėgiai Municipality), near Pleskau was killed a month before he was born. In early 1945, his mother fled with him from the advancing Soviet troops during the Evacuation of East Prussia in harsh winter conditions. Their train got stuck near Arnstadt, which was first occupied by Americans, but then became part of the East German Soviet occupation zone. In 1949, they crossed the already fortified border to resettle in Hanover, West Germany (as recounted in his song ""Renegade"" on the album Steppenwolf 7). Now living in the British occupation zone, the young Joachim, who suffered from eye problems, who could not speak or understand English, was first inspired by and learned about rock ‘n’ roll music while listening to Little Richard on U.S. Armed Forces radio. He also saw a newsreel about the Hungarian Revolution of 1956, shot and smuggled out by László Kovács of later Easy Rider fame. When his family moved to Toronto in 1958, teachers had a hard time pronouncing Joachim Krauledat, so he was called John K instead. Five years later, they moved to Buffalo, New York."
Claude_Laurens,French architect,architect,Z,"Lauren Bacall (; born Betty Joan Perske; September 16, 1924 – August 12, 2014) was an American actress. She was named the 20th-greatest female star of classic Hollywood cinema by the American Film Institute and received an Academy Honorary Award from the Academy of Motion Picture Arts and Sciences in 2009 in recognition of her contribution to the Golden Age of motion pictures. She was known for her distinctive voice and sultry looks. Bacall began a career as a model before making her film debut as the leading lady in To Have and Have Not (1944) at the age of 19. She continued in the film noir genre with appearances alongside husband Humphrey Bogart in The Big Sleep (1946), Dark Passage (1947), and Key Largo (1948), and she starred in the romantic comedies How to Marry a Millionaire (1953) with Marilyn Monroe and Betty Grable, and Designing Woman (1957) with Gregory Peck. She co-starred with John Wayne in his final film The Shootist (1976) by Wayne's personal request. She also worked on Broadway in musicals, earning Tony Awards for Applause (1970) and Woman of the Year (1981). She won a Golden Globe Award and was nominated for an Academy Award for her performance in The Mirror Has Two Faces (1996). == Early life ==
Lauren Bacall was born Betty Joan Perske on September 16, 1924, in The Bronx, New York City, the only child of Natalie (née Weinstein; 1901–1969), a secretary who later legally changed her surname to Bacal, and William Perske (1889–1982), who worked in sales. Both of her parents were Jewish."
Reinaldo_Manuel_dos_Santos,Portuguese architect,architect,Z,"This is a complete list of basilicas of the Catholic Church. A basilica is a church with certain privileges conferred on it by the Pope. Not all churches with ""basilica"" in their title actually have the ecclesiastical status, which can lead to confusion, since it is also an architectural term for a church-building style. In the 18th century, the term took on a canonical sense, unrelated to this architectural style. Basilicas in this canonical sense are divided into major (""greater"") and minor basilicas. Today only four, all in the Diocese of Rome, are classified as major basilicas: the major basilicas of St John Lateran, St Peter's, St Paul outside the Walls, and St Mary Major. The other canonical basilicas are minor basilicas. By canon law no Catholic church can be honoured with the title of basilica unless by apostolic grant or from immemorial custom. The Basilica di San Nicola da Tolentino was the first minor basilica to be canonically created, in 1783. The 1917 Code of Canon Law officially recognised churches using the title of basilica from immemorial custom as having such a right to the title of minor basilica."
Paul_Destombes,French architect,architect,Z,"Juan Rosai, M.D. (August 20, 1940 – July 7, 2020) was an Italian-born American physician who contributed to clinical research and education in the specialty of surgical pathology. He was the principal author and editor of a major textbook in that field, and he characterized novel medical conditions such as Rosai-Dorfman disease and the desmoplastic small round cell tumor. Rosai is also well-known because of his role as teacher, mentor and consultant to many American and international surgical pathologists. == Early life and education ==
Juan Rosai was born in Poppi, a little town near Florence, province of Arezzo, in the region of Tuscany, Italy. When he was eight years old, his parents emigrated to Buenos Aires, Argentina because of the economic problems in Italy after World War II. His original first name was Giovanni Rosai, but after his family settled in Argentina his first name was changed to the equivalent Spanish name Juan. At the age of 15, Rosai enrolled in the School of Medicine at the University of Buenos Aires. During his third year of medical school, he met Professor Eduardo Lascano, a pathologist who influenced young Rosai's interest in that discipline following the teachings of Pío del Río Hortega, Dr. Lascano mentor. Dr. Rosai earned the M.D."
Jacques-Elysée_Goss,Swiss architect (1839-1921),architect,Z,"Grand Théâtre de Genève is an opera house in Geneva, Switzerland. As with many other opera houses, the Grand Théâtre de Genève is both a venue and an institution. The venue is a majestic building, towering over Place Neuve, officially opened in 1876, partly destroyed by fire in 1951 and reopened in 1962, after extensive refurbishments, which houses the largest stage in Switzerland. As an institution, it is the largest production and host theatre in French-speaking Switzerland, featuring opera and dance performances, recitals, concerts and, occasionally, theatre.During the 17th and early 18th centuries, Geneva was heavily influenced by Calvinist orthodoxy and it was not until the middle 1760s that the city agreed to the building of the Théâtre de Rosimond, Geneva's first opera house. Under the influence of Voltaire opera began to flourish at La Grange aux Etrangers and its successor theatre, the Théâtre de Neuve, both of which were located outside the walls of the city. == The Grand Théâtre 1879-1951 ==
After a long period of uninterrupted activity, the Théâtre de Neuve was pulled down in 1880 to be replaced by a new theatre, better suited to the quality and space needed by Geneva's growing population. As early as 1862, the Municipal Council had decided that the theatre was too small and plain, in view of Geneva's increasing importance and prestige. In 1870, an invitation for proposals was launched, and the project was handed to architects Emile Reverdin and Gaspard André. Funds for the new theatre project were provided by Charles II, Duke of Brunswick's legacy to the city in 1873, out of which CHF 1.2 million were earmarked to build Geneva's future temple of operatic art. The municipal government voted to begin construction of the new theatre in 1874, on a 3,000 square metre plot granted by the State of Geneva and formerly occupied by the moats of the ancient city wall, according to plans drawn up by the architect Jacques-Élysée Goss."
